id,name,price,city,old_price,url
3405653,Конструктор LEGO Technic Monster Jam Max-D 42119,1049,"RU-KDA, RU-TA, RU-MOW, RU-KLU, RU-SMO, RU-STA, RU-YAR, RU-VLA, RU-ROS, RU-TUL, RU-IVA, RU-BRY, RU-TVE, RU-RYA, RU-TAM, RU-NIZ, RU-KIR, RU-SAM, RU-AD, RU-BA, RU-KC, RU-VGG, RU-KGD, RU-PSK, RU-ARK, RU-SPE, RU-KO, RU-MUR, RU-KR, RU-NGR, RU-VLG, RU-VOR, RU-KOS, RU-LIP, RU-PNZ, RU-BEL, RU-KRS, RU-ORL, RU-SAR, RU-UD, RU-ME, RU-ORE, RU-MO, RU-ULY, RU-PER, RU-AST, RU-KB, RU-SE, RU-IN, RU-CE, RU-DA, RU-SVE, RU-KGN, RU-CHE, RU-KHM, RU-YAN, RU-TOM, RU-KK, RU-IRK, RU-ALT, RU-KYA, RU-KEM, RU-NVS, RU-OMS, RU-BU, RU-ZAB, RU-AL, RU-TY, RU-PRI, RU-AMU, RU-YEV, RU-KHA, RU-MAG, RU-KAM, RU-SAK, RU-SA, RU-KL, RU-CU",1699,https://www.detmir.ru/product/index/id/3405653/
3244534,Конструктор LEGO City Исследовательское судно 60266,7599,"RU-MOW, RU-KGD, RU-PSK, RU-SPE, RU-KO, RU-MUR, RU-KR, RU-ARK, RU-NGR, RU-BRY, RU-VLA, RU-VLG, RU-VOR, RU-NIZ, RU-IVA, RU-KLU, RU-KOS, RU-LIP, RU-PNZ, RU-RYA, RU-SMO, RU-BEL, RU-TAM, RU-TVE, RU-TUL, RU-YAR, RU-KRS, RU-ORL, RU-TA, RU-SAR, RU-UD, RU-KIR, RU-ORE, RU-SAM, RU-MO, RU-ULY, RU-BA, RU-ME, RU-PER, RU-VGG, RU-ROS, RU-KDA, RU-KB, RU-STA, RU-SE, RU-KC, RU-IN, RU-CE, RU-DA, RU-AD, RU-AST, RU-KL, RU-SVE, RU-KGN, RU-CHE, RU-KHM, RU-YAN, RU-TOM, RU-KK, RU-ALT, RU-KYA, RU-KEM, RU-NVS, RU-OMS, RU-ZAB, RU-BU, RU-IRK, RU-TY, RU-PRI, RU-YEV, RU-KHA, RU-KAM, RU-SA, RU-CU",12499,https://www.detmir.ru/product/index/id/3244534/
3430415,Конструктор LEGO Technic Jeep Wrangler 42122,2859,"RU-MOW, RU-KR, RU-PSK, RU-ARK, RU-SPE, RU-MUR, RU-NGR, RU-KGD, RU-BRY, RU-VLA, RU-VOR, RU-NIZ, RU-IVA, RU-KLU, RU-KOS, RU-LIP, RU-PNZ, RU-RYA, RU-SMO, RU-TAM, RU-TVE, RU-TUL, RU-VLG, RU-YAR, RU-BEL, RU-KRS, RU-ORL, RU-TA, RU-SAR, RU-UD, RU-ME, RU-KIR, RU-ORE, RU-SAM, RU-MO, RU-BA, RU-ULY, RU-PER, RU-KDA, RU-AST, RU-VGG, RU-ROS, RU-KB, RU-STA, RU-SE, RU-KC, RU-IN, RU-CE, RU-DA, RU-AD, RU-KL, RU-SVE, RU-KGN, RU-CHE, RU-KHM, RU-YAN, RU-TOM, RU-KK, RU-ALT, RU-KYA, RU-OMS, RU-BU, RU-IRK, RU-KEM, RU-NVS, RU-ZAB, RU-AL, RU-TY, RU-PRI, RU-YEV, RU-MAG, RU-KHA, RU-SAK, RU-SA, RU-CU",4699,https://www.detmir.ru/product/index/id/3430415/
3092803,Конструктор LEGO DUPLO Town Грузовой поезд (10875),6919,"RU-MOW, RU-SMO, RU-VLA, RU-KGD, RU-ARK, RU-SPE, RU-KO, RU-MUR, RU-KR, RU-PSK, RU-BRY, RU-VLG, RU-VOR, RU-NIZ, RU-IVA, RU-KLU, RU-KOS, RU-PNZ, RU-RYA, RU-BEL, RU-TAM, RU-TUL, RU-YAR, RU-TVE, RU-KRS, RU-ORL, RU-UD, RU-ME, RU-TA, RU-KIR, RU-ORE, RU-SAM, RU-MO, RU-SAR, RU-BA, RU-ULY, RU-LIP, RU-KDA, RU-AST, RU-VGG, RU-ROS, RU-STA, RU-SE, RU-KC, RU-KL, RU-SVE, RU-KGN, RU-CHE, RU-KHM, RU-PER, RU-YAN, RU-IRK, RU-ALT, RU-KYA, RU-KEM, RU-NVS, RU-OMS, RU-TOM, RU-PRI, RU-MAG, RU-KHA, RU-SAK, RU-DA, RU-AD, RU-KB, RU-CE, RU-IN, RU-CU",11499,https://www.detmir.ru/product/index/id/3092803/
3226596,Конструктор LEGO Friends Парикмахерская Хартлейк Сити 41391,1079,"RU-KDA, RU-TA, RU-MOW, RU-SMO, RU-KLU, RU-STA, RU-YAR, RU-VLA, RU-ROS, RU-TUL, RU-IVA, RU-BRY, RU-TVE, RU-RYA, RU-TAM, RU-NIZ, RU-KIR, RU-SAM, RU-AD, RU-BA, RU-KC, RU-VGG, RU-KGD, RU-PSK, RU-ARK, RU-SPE, RU-KO, RU-MUR, RU-KR, RU-NGR, RU-VOR, RU-KOS, RU-LIP, RU-PNZ, RU-BEL, RU-VLG, RU-ORL, RU-KRS, RU-SAR, RU-UD, RU-ME, RU-ORE, RU-MO, RU-ULY, RU-AST, RU-KB, RU-SE, RU-IN, RU-CE, RU-DA, RU-KL, RU-SVE, RU-KGN, RU-CHE, RU-KHM, RU-PER, RU-YAN, RU-TOM, RU-IRK, RU-ALT, RU-KYA, RU-KEM, RU-NVS, RU-OMS, RU-BU, RU-ZAB, RU-AL, RU-TY, RU-PRI, RU-AMU, RU-KK, RU-YEV, RU-MAG, RU-KHA, RU-KAM, RU-SAK, RU-SA",1699,https://www.detmir.ru/product/index/id/3226596/
3405639,Конструктор LEGO Minecraft Дом-свинья 21170,2939,"RU-MOW, RU-KLU, RU-KDA, RU-YAR, RU-VLA, RU-TUL, RU-BRY, RU-KGD, RU-KR, RU-ARK, RU-SPE, RU-MUR, RU-PSK, RU-NGR, RU-VLG, RU-VOR, RU-NIZ, RU-IVA, RU-LIP, RU-PNZ, RU-RYA, RU-SMO, RU-BEL, RU-TAM, RU-TVE, RU-KRS, RU-KOS, RU-ORL, RU-TA, RU-SAR, RU-UD, RU-ME, RU-KIR, RU-ORE, RU-SAM, RU-MO, RU-BA, RU-ULY, RU-PER, RU-AST, RU-VGG, RU-ROS, RU-KB, RU-STA, RU-SE, RU-KC, RU-IN, RU-CE, RU-DA, RU-AD, RU-KL, RU-SVE, RU-KGN, RU-CHE, RU-KHM, RU-YAN, RU-TOM, RU-IRK, RU-ALT, RU-KYA, RU-KEM, RU-OMS, RU-NVS, RU-BU, RU-AL, RU-TY, RU-AMU, RU-KK, RU-KHA, RU-MAG, RU-SAK, RU-PRI, RU-SA, RU-CU",4699,https://www.detmir.ru/product/index/id/3405639/
3187781,Конструктор LEGO Minecraft Шахта крипера 21155,5779,"RU-MOW, RU-RYA, RU-KGD, RU-SPE, RU-ARK, RU-KO, RU-VLA, RU-VLG, RU-VOR, RU-IVA, RU-KOS, RU-NIZ, RU-TAM, RU-BEL, RU-KLU, RU-SMO, RU-ORL, RU-UD, RU-TA, RU-KIR, RU-ORE, RU-SAM, RU-SAR, RU-ULY, RU-BA, RU-AST, RU-VGG, RU-KDA, RU-ROS, RU-STA, RU-KC, RU-IN, RU-DA, RU-CE, RU-SVE, RU-CHE, RU-KHM, RU-PER, RU-TOM, RU-ALT, RU-KYA, RU-KEM, RU-NVS, RU-OMS, RU-IRK, RU-AD, RU-KB, RU-KL, RU-SE, RU-ME, RU-CU",7499,https://www.detmir.ru/product/index/id/3187781/
3099182,Конструктор LEGO City Trains Товарный поезд 60198,10369,"RU-MOW, RU-KGD, RU-KR, RU-ARK, RU-SPE, RU-KO, RU-MUR, RU-PSK, RU-BRY, RU-VLA, RU-VLG, RU-VOR, RU-IVA, RU-KLU, RU-KOS, RU-NIZ, RU-PNZ, RU-RYA, RU-BEL, RU-TVE, RU-TUL, RU-YAR, RU-SMO, RU-KRS, RU-ORL, RU-UD, RU-ME, RU-TA, RU-KIR, RU-ORE, RU-SAM, RU-SAR, RU-ULY, RU-BA, RU-LIP, RU-KDA, RU-AST, RU-VGG, RU-KB, RU-ROS, RU-STA, RU-KC, RU-IN, RU-KL, RU-SVE, RU-KGN, RU-CHE, RU-KHM, RU-PER, RU-YAN, RU-IRK, RU-ALT, RU-KEM, RU-OMS, RU-TOM, RU-KYA, RU-PRI, RU-SAK, RU-SA, RU-DA, RU-AD, RU-SE, RU-CE, RU-CU",16999,https://www.detmir.ru/product/index/id/3099182/
2497211,Конструктор LEGO DUPLO My First Поезд «Считай и играй» (10847),969,"RU-MOW, RU-SMO, RU-KLU, RU-STA, RU-YAR, RU-KDA, RU-VLA, RU-TUL, RU-ROS, RU-KGD, RU-KR, RU-PSK, RU-ARK, RU-SPE, RU-KO, RU-MUR, RU-NGR, RU-BRY, RU-VLG, RU-VOR, RU-NIZ, RU-IVA, RU-KOS, RU-LIP, RU-PNZ, RU-RYA, RU-BEL, RU-TAM, RU-TVE, RU-KRS, RU-ORL, RU-TA, RU-SAR, RU-UD, RU-ME, RU-KIR, RU-ORE, RU-SAM, RU-MO, RU-ULY, RU-BA, RU-AST, RU-VGG, RU-KB, RU-KC, RU-IN, RU-DA, RU-CE, RU-AD, RU-KL, RU-SVE, RU-KGN, RU-CHE, RU-KHM, RU-PER, RU-YAN, RU-TOM, RU-KK, RU-IRK, RU-ALT, RU-KEM, RU-NVS, RU-OMS, RU-BU, RU-KYA, RU-ZAB, RU-PRI, RU-AMU, RU-YEV, RU-KHA, RU-MAG, RU-KAM, RU-SAK, RU-SA, RU-SE",1499,https://www.detmir.ru/product/index/id/2497211/
3226586,Конструктор LEGO Minecraft Патруль разбойников 21160,3959,"RU-MOW, RU-KDA, RU-YAR, RU-VLA, RU-ROS, RU-TUL, RU-STA, RU-BRY, RU-KC, RU-KIR, RU-KGD, RU-KR, RU-PSK, RU-ARK, RU-SPE, RU-MUR, RU-NGR, RU-KO, RU-VOR, RU-NIZ, RU-IVA, RU-KLU, RU-KOS, RU-LIP, RU-PNZ, RU-RYA, RU-SMO, RU-TAM, RU-TVE, RU-VLG, RU-BEL, RU-KRS, RU-ORL, RU-TA, RU-SAR, RU-UD, RU-ME, RU-ORE, RU-SAM, RU-MO, RU-BA, RU-ULY, RU-PER, RU-AST, RU-VGG, RU-KB, RU-SE, RU-IN, RU-DA, RU-CE, RU-AD, RU-SVE, RU-KGN, RU-CHE, RU-KHM, RU-YAN, RU-TOM, RU-IRK, RU-ALT, RU-KYA, RU-KEM, RU-NVS, RU-OMS, RU-BU, RU-AL, RU-TY, RU-PRI, RU-AMU, RU-KK, RU-YEV, RU-KHA, RU-MAG, RU-KAM, RU-SA, RU-KL",6499,https://www.detmir.ru/product/index/id/3226586/
